realPGA,Predicted PGA,"realPGA
 地震等級","Predicted PGA 
地震等級",等級差異,,
7.9002,23.07525063,2,3,-1,,
119.7,145.713623,5,5,0,,
17.955,50.03272247,3,4,-1,,
7.182,20.28025246,2,3,-1,,
8.1396,23.2980175,3,3,0,,
7.9002,31.68489265,2,4,-2,,
9.3366,19.65441704,3,3,0,,
10.773,21.92686653,3,3,0,,
8.1396,21.8269062,3,3,0,,
10.294,45.82593918,3,4,-1,,
9.8154,24.25201988,3,3,0,,
8.379,27.03597069,3,4,-1,,
14.843,19.21846199,3,3,0,,
12.209,33.75030136,3,4,-1,,
10.294,22.92528915,3,3,0,,
13.167,29.40727425,3,4,-1,,
13.646,29.8324604,3,4,-1,,
16.758,32.26721573,3,4,-1,,
7.4214,23.51782036,2,3,-1,,
20.349,20.33120155,3,3,0,,
24.658,58.47418594,3,4,-1,,
6.7032,24.90921211,2,3,-1,,
16.04,60.78193283,3,4,-1,,
34.474,99.43361664,4,5,-1,,
6.4638,25.23427391,2,4,-2,,
8.8578,34.35665512,3,4,-1,,
25.376,31.08328438,4,4,0,,
8.8578,19.1057148,3,3,0,,
8.6184,20.91919518,3,3,0,,
16.04,27.56635475,3,4,-1,,
6.9426,25.06642723,2,4,-2,,
172.13,24.0749073,5,3,2,,
16.04,38.60247421,3,4,-1,,
26.573,18.5565815,4,3,1,,
43.81,74.4610672,4,4,0,,
52.189,39.85443497,4,4,0,,
10.294,28.45195198,3,4,-1,,
11.731,24.05504036,3,3,0,,
22.025,61.0649147,3,4,-1,,
16.279,45.36680984,3,4,-1,,
6.7032,21.63630867,2,3,-1,,
7.9002,17.8390789,2,3,-1,,
7.4214,21.82567406,2,3,-1,,
7.9002,24.29593468,2,3,-1,,
10.055,27.33661842,3,4,-1,,
7.4214,35.86085892,2,4,-2,,
11.012,25.19395256,3,4,-1,,
8.6184,22.06452751,3,3,0,,
24.898,51.77997971,3,4,-1,,
8.1396,23.09828377,3,3,0,,
19.631,47.19804001,3,4,-1,,
8.1396,24.2572422,3,3,0,,
8.1396,20.8917675,3,3,0,,
10.294,27.18052864,3,4,-1,,
10.294,25.65301323,3,4,-1,,
8.379,21.64789009,3,3,0,,
9.0972,24.29377174,3,3,0,,
6.9426,24.23253441,2,3,-1,,
11.012,24.86442757,3,3,0,,
13.885,24.16700172,3,3,0,,
6.9426,20.16935921,2,3,-1,,
9.3366,27.08767128,3,4,-1,,
7.4214,15.15096474,2,3,-1,,
12.928,25.52142906,3,4,-1,,
7.6608,21.91995811,2,3,-1,,
12.209,21.4832859,3,3,0,,
10.294,27.57039452,3,4,-1,,
9.576,19.12883186,3,3,0,,
9.3366,22.92610741,3,3,0,,
9.0972,27.63849449,3,4,-1,,
9.8154,20.08360481,3,3,0,,
6.9426,21.61784935,2,3,-1,,
10.773,28.09219933,3,4,-1,,
9.3366,21.31550789,3,3,0,,
8.6184,26.25240898,3,4,-1,,
7.182,22.84614372,2,3,-1,,
9.8154,17.89650536,3,3,0,,
8.6184,20.32136726,3,3,0,,
36.389,24.90664864,4,3,1,,
10.773,28.19756889,3,4,-1,,
6.7032,35.9450531,2,4,-2,,
45.007,109.3608704,4,5,-1,,
14.125,30.83540916,3,4,-1,,
7.9002,22.00988579,2,3,-1,,
9.0972,21.57105064,3,3,0,,
7.6608,25.39589119,2,4,-2,,
58.892,133.9204865,4,5,-1,,
48.119,101.9294891,4,5,-1,,
7.6608,22.26574516,2,3,-1,,
8.379,20.6253376,3,3,0,,
6.7032,19.24079704,2,3,-1,,
13.167,26.04200935,3,4,-1,,
9.3366,19.51908684,3,3,0,,
11.012,22.36372948,3,3,0,,
29.207,25.15763664,4,4,0,,
7.6608,22.38107872,2,3,-1,,
13.406,29.02628136,3,4,-1,,
8.1396,32.45293045,3,4,-1,,
14.364,37.04443741,3,4,-1,,
24.179,56.91080856,3,4,-1,,
8.8578,28.4880352,3,4,-1,,
10.534,32.6554451,3,4,-1,,
8.379,19.51708794,3,3,0,,
7.4214,34.85573196,2,4,-2,,
8.379,24.98459816,3,3,0,,
9.576,23.32750893,3,3,0,,
18.913,21.83965492,3,3,0,,
6.9426,20.64362144,2,3,-1,,
13.885,25.27638817,3,4,-1,,
18.194,39.05910873,3,4,-1,,
8.379,31.9796505,3,4,-1,,
13.167,30.17182732,3,4,-1,,
9.0972,21.81173897,3,3,0,,
116.83,140.5785675,5,5,0,,
7.182,25.27418709,2,4,-2,,
17.237,24.8273716,3,3,0,,
8.6184,24.94937325,3,3,0,,
8.379,21.93890572,3,3,0,,
7.6608,26.69581032,2,4,-2,,
6.9426,17.91220665,2,3,-1,,
7.9002,17.68335533,2,3,-1,,
52.907,28.96079063,4,4,0,,
40.937,36.26858139,4,4,0,,
26.573,54.99174881,4,4,0,,
11.012,26.05728722,3,4,-1,,
6.7032,29.492239,2,4,-2,,
7.9002,20.3067379,2,3,-1,,
16.279,24.59800148,3,3,0,,
8.1396,22.79070473,3,3,0,,
21.307,68.725914,3,4,-1,,
8.6184,25.98095894,3,4,-1,,
6.7032,16.51871681,2,3,-1,,
9.0972,28.85796165,3,4,-1,,
11.97,28.04372978,3,4,-1,,
9.8154,37.43669128,3,4,-1,,
50.274,24.38351631,4,3,1,,
10.534,22.66734886,3,3,0,,
8.8578,18.47981071,3,3,0,,
10.773,22.04807472,3,3,0,,
24.898,23.42921638,3,3,0,,
7.9002,22.35678673,2,3,-1,,
9.0972,28.93211937,3,4,-1,,
17.716,47.45683289,3,4,-1,,
23.222,36.85432816,3,4,-1,,
12.449,22.63816261,3,3,0,,
9.3366,18.53752327,3,3,0,,
32.08,76.60070038,4,4,0,,
7.9002,28.03772163,2,4,-2,,
17.476,30.29742622,3,4,-1,,
71.102,152.7366791,4,5,-1,,
14.364,25.32974434,3,4,-1,,
12.209,30.4386158,3,4,-1,,
6.7032,22.55695152,2,3,-1,,
13.406,21.19825935,3,3,0,,
62.483,26.20812416,4,4,0,,
16.519,20.421875,3,3,0,,
9.576,28.78137398,3,4,-1,,
6.9426,16.92265511,2,3,-1,,
9.576,20.52335548,3,3,0,,
14.603,21.61081886,3,3,0,,
8.8578,26.93475533,3,4,-1,,
26.334,22.70739937,4,3,1,,
6.9426,26.28535271,2,4,-2,,
8.8578,26.83812141,3,4,-1,,
11.97,31.96274757,3,4,-1,,
17.716,34.83918381,3,4,-1,,
16.758,32.58775711,3,4,-1,,
17.237,37.86096573,3,4,-1,,
227.67,20.69493294,5,3,2,,
7.9002,20.98951912,2,3,-1,,
15.082,33.6038475,3,4,-1,,
10.294,26.25919914,3,4,-1,,
7.9002,36.558815,2,4,-2,,
10.055,26.57918358,3,4,-1,,
44.528,51.21042252,4,4,0,,
8.8578,21.38268089,3,3,0,,
19.152,23.70818901,3,3,0,,
7.9002,19.75451469,2,3,-1,,
7.6608,21.2642498,2,3,-1,,
13.646,39.41826248,3,4,-1,,
44.05,18.83301735,4,3,1,,
12.688,24.81881905,3,3,0,,
7.9002,20.89519691,2,3,-1,,
14.125,27.1469326,3,4,-1,,
9.3366,18.65990257,3,3,0,,
11.012,22.3386631,3,3,0,,
7.6608,22.83096504,2,3,-1,,
7.9002,23.04916191,2,3,-1,,
11.97,16.30720711,3,3,0,,
7.182,23.7563076,2,3,-1,,
10.294,35.68949127,3,4,-1,,
7.6608,24.75610161,2,3,-1,,
16.997,35.99628448,3,4,-1,,
7.9002,20.01062202,2,3,-1,,
116.59,37.51805115,5,4,1,,
15.322,39.3412056,3,4,-1,,
27.531,25.60162163,4,4,0,,
15.8,17.06228065,3,3,0,,
6.7032,17.61136436,2,3,-1,,
15.322,37.08491135,3,4,-1,,
25.616,18.30120659,4,3,1,,
10.534,22.31489754,3,3,0,,
8.1396,19.35109138,3,3,0,,
8.379,18.8424511,3,3,0,,
47.162,17.38066292,4,3,1,,
16.279,35.45114899,3,4,-1,,
16.997,30.75709343,3,4,-1,,
9.0972,24.39941216,3,3,0,,
6.9426,32.42311096,2,4,-2,,
12.209,19.0532093,3,3,0,,
8.379,15.41313744,3,3,0,,
9.3366,31.60947609,3,4,-1,,
7.4214,24.02914619,2,3,-1,,
7.4214,19.82957649,2,3,-1,,
13.646,24.7943058,3,3,0,,
9.8154,20.12278557,3,3,0,,
11.252,17.75448418,3,3,0,,
13.406,25.37353325,3,4,-1,,
15.322,31.0416317,3,4,-1,,
6.9426,22.74202538,2,3,-1,,
25.855,50.95222473,4,4,0,,
11.97,30.97313118,3,4,-1,,
28.728,28.3980999,4,4,0,,
17.955,28.93084526,3,4,-1,,
14.603,25.25848579,3,4,-1,,
12.209,28.29601479,3,4,-1,,
6.7032,22.85431099,2,3,-1,,
8.379,21.51314735,3,3,0,,
11.012,20.15180016,3,3,0,,
7.9002,38.38047409,2,4,-2,,
10.294,22.73791313,3,3,0,,
23.94,35.02985764,3,4,-1,,
10.294,21.25332832,3,3,0,,
8.8578,17.8506794,3,3,0,,
16.04,26.98254204,3,4,-1,,
21.307,33.3585968,3,4,-1,,
6.4638,19.9992466,2,3,-1,,
6.2244,21.17099571,2,3,-1,,
9.576,32.7035141,3,4,-1,,
9.3366,23.27024651,3,3,0,,
7.6608,18.25370979,2,3,-1,,
18.434,19.83821678,3,3,0,,
12.688,28.84890556,3,4,-1,,
6.7032,16.14734459,2,3,-1,,
7.6608,25.76141548,2,4,-2,,
8.379,20.1782589,3,3,0,,
10.534,25.82936668,3,4,-1,,
9.8154,25.58729172,3,4,-1,,
17.716,30.49451256,3,4,-1,,
7.4214,29.05360794,2,4,-2,,
13.646,29.29258919,3,4,-1,,
141.01,60.20653534,5,4,1,,
7.6608,22.4711132,2,3,-1,,
12.449,24.53894234,3,3,0,,
12.688,21.94207573,3,3,0,,
16.997,23.55267525,3,3,0,,
28.728,30.57309914,4,4,0,,
11.012,22.23192406,3,3,0,,
9.3366,34.39971542,3,4,-1,,
7.182,27.70789909,2,4,-2,,
11.97,21.51637459,3,3,0,,
39.262,38.80275726,4,4,0,,
10.055,17.39096642,3,3,0,,
13.646,45.53659821,3,4,-1,,
13.885,28.51385689,3,4,-1,,
7.9002,19.81077766,2,3,-1,,
7.6608,16.23274422,2,3,-1,,
11.97,26.05801201,3,4,-1,,
10.294,28.22328377,3,4,-1,,
27.052,47.84781265,4,4,0,,
8.379,26.23037529,3,4,-1,,
21.785,17.95862007,3,3,0,,
8.379,26.90084648,3,4,-1,,
23.701,37.44491196,3,4,-1,,
8.6184,24.5561161,3,3,0,,
27.052,60.24298859,4,4,0,,
14.603,31.68266106,3,4,-1,,
6.9426,32.84253693,2,4,-2,,
17.716,30.69055748,3,4,-1,,
19.631,22.78067207,3,3,0,,
107.25,38.38139725,5,4,1,,
145.08,112.7484283,5,5,0,,
10.773,22.61866188,3,3,0,,
7.182,23.66928291,2,3,-1,,
14.603,43.86922836,3,4,-1,,
11.491,33.03519058,3,4,-1,,
6.9426,22.95626259,2,3,-1,,
13.646,28.6409359,3,4,-1,,
27.77,17.96903801,4,3,1,,
11.012,41.71445084,3,4,-1,,
9.576,25.51649284,3,4,-1,,
80.917,100.7921371,5,5,0,,
10.055,31.0579319,3,4,-1,,
7.4214,15.31693077,2,3,-1,,
19.391,24.42937279,3,3,0,,
9.0972,33.58403397,3,4,-1,,
7.182,28.98763084,2,4,-2,,
85.945,158.2910614,5,5,0,,
10.055,32.23004913,3,4,-1,,
7.9002,22.55554771,2,3,-1,,
8.6184,26.39359093,3,4,-1,,
7.4214,27.80407524,2,4,-2,,
108.45,228.1510468,5,5,0,,
8.6184,20.26417732,3,3,0,,
6.9426,30.33411598,2,4,-2,,
9.576,18.34816933,3,3,0,,
6.9426,27.20117378,2,4,-2,,
13.167,29.01440239,3,4,-1,,
27.052,27.33037376,4,4,0,,
12.449,23.68607903,3,3,0,,
7.9002,26.73736763,2,4,-2,,
50.992,25.05105782,4,4,0,,
12.928,19.02043343,3,3,0,,
12.928,20.94083977,3,3,0,,
8.379,22.4771328,3,3,0,,
8.8578,29.15449715,3,4,-1,,
17.476,21.49393654,3,3,0,,
8.1396,21.54133034,3,3,0,,
6.9426,27.43392372,2,4,-2,,
13.406,47.38976288,3,4,-1,,
15.322,30.30615044,3,4,-1,,
9.3366,31.71430016,3,4,-1,,
39.98,23.47141457,4,3,1,,
7.4214,23.25493431,2,3,-1,,
8.8578,20.3137989,3,3,0,,
6.9426,21.91190147,2,3,-1,,
12.209,27.07329369,3,4,-1,,
6.7032,26.46826744,2,4,-2,,
16.997,30.84135628,3,4,-1,,
7.9002,28.41228294,2,4,-2,,
7.6608,18.65963173,2,3,-1,,
6.9426,17.34859276,2,3,-1,,
9.576,22.44880295,3,3,0,,
31.122,45.69007874,4,4,0,,
6.9426,21.4296093,2,3,-1,,
11.491,25.2351017,3,4,-1,,
11.012,24.39063454,3,3,0,,
18.194,24.2822094,3,3,0,,
8.8578,22.34272575,3,3,0,,
10.773,20.82354546,3,3,0,,
9.3366,21.07041359,3,3,0,,
9.576,25.67959023,3,4,-1,,
22.982,23.02522087,3,3,0,,
6.9426,19.52818871,2,3,-1,,
9.0972,26.85721397,3,4,-1,,
7.4214,29.37809944,2,4,-2,,
22.025,20.28859901,3,3,0,,
9.8154,24.66445732,3,3,0,,
11.252,19.57818031,3,3,0,,
18.194,21.40377617,3,3,0,,
7.9002,18.23027229,2,3,-1,,
7.9002,37.56640244,2,4,-2,,
15.8,41.3463707,3,4,-1,,
11.491,43.60862732,3,4,-1,,
10.055,17.1368084,3,3,0,,
100.55,24.65358925,5,3,2,,
9.0972,24.97600746,3,3,0,,
35.431,22.65777397,4,3,1,,
15.082,26.56116676,3,4,-1,,
15.8,38.81914139,3,4,-1,,
6.4638,31.43502617,2,4,-2,,
11.731,24.41328621,3,3,0,,
10.055,21.48894691,3,3,0,,
8.6184,29.68459129,3,4,-1,,
16.758,19.91263008,3,3,0,,
52.907,25.66009331,4,4,0,,
7.9002,31.56975746,2,4,-2,,
27.531,45.61326981,4,4,0,,
10.773,15.16488457,3,3,0,,
9.0972,20.85774422,3,3,0,,
9.576,26.14609718,3,4,-1,,
13.406,24.52194405,3,3,0,,
21.067,28.68174171,3,4,-1,,
9.576,31.53444481,3,4,-1,,
8.8578,20.91864586,3,3,0,,
8.1396,20.93375587,3,3,0,,
8.8578,26.91460991,3,4,-1,,
8.6184,21.61218071,3,3,0,,
8.1396,20.59606361,3,3,0,,
11.97,20.14425087,3,3,0,,
7.6608,24.75251198,2,3,-1,,
9.0972,33.72710419,3,4,-1,,
7.6608,21.57905769,2,3,-1,,
6.9426,25.13744926,2,4,-2,,
41.656,43.32434464,4,4,0,,
7.9002,16.72294807,2,3,-1,,
7.4214,25.84620476,2,4,-2,,
8.1396,18.81728935,3,3,0,,
12.449,24.99173546,3,3,0,,
10.773,29.70375252,3,4,-1,,
15.8,22.84126091,3,3,0,,
9.0972,22.26698112,3,3,0,,
9.3366,29.58232689,3,4,-1,,
9.576,19.61186028,3,3,0,,
58.174,44.71238327,4,4,0,,
8.1396,27.52815056,3,4,-1,,
8.379,20.31224251,3,3,0,,
11.97,23.153265,3,3,0,,
24.419,24.16117668,3,3,0,,
9.0972,27.47976494,3,4,-1,,
7.6608,24.99185753,2,3,-1,,
8.1396,17.6394825,3,3,0,,
9.576,20.92407417,3,3,0,,
10.534,24.17903709,3,3,0,,
11.012,35.72072601,3,4,-1,,
7.9002,20.46401787,2,3,-1,,
7.4214,25.89229393,2,4,-2,,
8.8578,25.42914009,3,4,-1,,
58.892,63.91265869,4,4,0,,
16.519,28.26436043,3,4,-1,,
10.534,25.96731377,3,4,-1,,
26.095,60.68225861,4,4,0,,
10.294,27.73740959,3,4,-1,,
11.731,20.92174339,3,3,0,,
7.9002,28.3069973,2,4,-2,,
16.758,18.60492897,3,3,0,,
6.9426,20.1390667,2,3,-1,,
7.6608,22.54021645,2,3,-1,,
10.294,25.25984764,3,4,-1,,
11.252,30.88031197,3,4,-1,,
20.588,29.35413933,3,4,-1,,
23.94,51.88908005,3,4,-1,,
13.885,23.88903236,3,3,0,,
