realY,Predicted PGA
17.476,10.98784065
8.1396,10.73113346
16.519,12.25816059
10.055,12.71361351
9.8154,13.05690956
8.379,13.49700356
11.731,31.51454735
182.18,127.9453583
11.012,11.24045563
9.8154,11.97035313
9.3366,11.32816792
9.3366,15.1755352
15.561,12.83517456
7.6608,11.33560181
23.701,33.59396362
6.9426,11.92475319
7.4214,12.18936729
10.294,12.41744804
9.8154,10.44566345
7.4214,10.82728481
75.172,18.31804848
7.182,14.06681442
13.885,11.59210777
18.434,10.46089077
35.431,10.8222084
7.6608,10.76813602
7.4214,12.63479805
7.182,11.52037048
8.1396,10.86712456
17.237,12.94672585
20.11,10.30460167
8.8578,11.30143738
11.012,12.12596321
7.9002,10.79153061
8.1396,11.02905083
8.6184,12.04675102
139.33,17.01524162
7.182,11.7134819
9.576,12.12360764
12.449,10.87459183
10.294,9.641069412
23.461,12.24101639
11.491,12.50425148
31.361,13.23312378
7.6608,9.848649025
58.653,13.57459831
78.284,59.9858017
24.898,11.96526146
27.292,12.30073357
19.631,13.01280022
8.6184,12.40310764
6.7032,12.47342873
7.6608,10.23267365
13.406,12.76743317
11.012,24.34834862
8.6184,13.02988625
8.6184,10.48409462
8.1396,11.13128471
7.6608,12.43995857
9.8154,13.75921059
18.194,20.71132469
24.419,9.945360184
8.6184,10.92999172
25.137,10.54988003
7.182,10.47780132
24.179,12.64448166
24.419,11.16394424
16.04,10.81304932
7.4214,11.0494709
13.646,12.77951431
15.082,12.07815552
7.182,11.2089138
9.0972,12.13355827
40.219,10.75051117
17.955,11.99535561
7.9002,10.55463982
16.04,27.72618675
8.6184,12.33720589
13.885,15.3304348
10.055,11.02864838
6.4638,11.18848228
58.414,12.58030605
14.843,37.36525345
7.6608,11.78346634
18.194,12.38505363
10.055,10.38998222
11.252,10.66721153
49.077,11.21577454
19.391,10.93247509
7.9002,14.71194363
6.7032,10.42404461
7.4214,15.21674728
9.576,12.04450607
12.209,12.05589867
12.449,10.94050026
7.6608,10.89447403
14.603,11.00582504
14.603,10.47748947
25.616,10.72265911
9.0972,10.81442261
16.04,17.40314865
8.1396,11.35276031
245.86,190.9892273
8.1396,10.73789787
16.04,28.81497002
13.646,11.88467789
5.7456,11.94442368
6.2244,10.63491821
9.8154,10.77235985
13.885,12.89091873
19.152,18.04224396
10.294,10.61614323
7.182,11.05068493
9.0972,13.46889591
436.91,131.8492737
7.182,12.63933563
414.88,183.2640381
9.0972,10.95210648
13.167,9.875490189
246.1,98.19005585
10.055,17.09266853
9.3366,11.73131371
11.97,11.1542263
37.586,24.56394386
12.928,10.88810253
9.3366,11.97883606
18.673,11.90587616
8.379,10.21214676
7.9002,12.71095848
9.576,11.2644043
34.713,10.75543118
11.012,20.20926857
8.379,12.35559464
9.0972,11.87328339
8.379,10.06031418
8.379,11.65989113
16.519,21.40417862
7.9002,10.3386879
13.406,11.07526207
24.898,15.20792484
21.785,10.47255135
10.294,11.61213303
20.11,11.13567162
20.349,13.95628834
12.449,14.05741692
9.3366,10.54007912
10.055,12.47476006
7.182,10.02518272
16.758,26.36841583
97.436,17.81845665
6.7032,11.57540703
24.419,13.22282505
35.671,10.96776199
220.01,146.7944489
8.6184,11.19647408
12.928,12.21537018
8.1396,16.31204987
11.491,11.85364532
7.182,12.29444504
7.9002,12.42652798
8.8578,10.79130077
8.6184,10.70285225
9.8154,13.18940067
7.6608,14.03893661
10.534,16.472929
9.0972,10.59723186
17.716,13.50199986
8.8578,10.78779697
19.391,29.84673119
18.673,14.49309826
21.307,12.85350323
11.491,14.16157913
8.8578,11.98511696
96.478,32.25531387
9.8154,10.31023979
7.182,13.0587225
7.182,11.83041859
10.055,12.50700951
7.4214,15.41428185
14.125,14.79810619
24.419,11.44276905
17.716,18.73443031
9.8154,11.22159386
19.391,14.89450932
7.6608,9.791727066
6.7032,11.27834129
9.3366,11.05773544
9.3366,11.79374504
9.3366,10.08876896
50.035,45.52547836
11.491,13.67018032
12.688,12.36885452
8.379,11.11632919
10.055,15.31968689
8.379,11.20045948
17.476,21.04528236
8.8578,11.99021721
12.449,11.70517349
7.4214,11.26600266
11.97,11.67717361
64.638,20.95248985
8.6184,13.46617126
7.4214,11.81962204
8.8578,11.19104576
11.731,11.53156471
13.406,13.72471523
9.0972,10.57037544
13.646,11.14844513
10.055,12.35058784
8.379,12.13930988
9.8154,11.51031113
9.576,11.28318787
19.391,21.99683189
38.783,17.57003593
5.985,11.91294861
22.743,33.44538879
