realPGA,Predicted PGA
9.8154,12.90363216
55.301,34.32681656
9.0972,15.07564068
8.8578,14.09373665
13.167,12.36220455
8.6184,17.99776077
8.6184,22.61742783
10.773,14.40104866
17.716,27.17870331
10.055,15.5102129
10.055,15.90573883
13.885,15.50130177
24.658,19.80977249
7.4214,17.62908936
11.731,17.53850746
15.8,19.04840851
19.152,27.16412735
7.9002,16.58922195
23.461,16.88609886
18.434,16.17654037
6.9426,20.8497467
15.322,26.62210846
17.476,15.57256413
9.8154,13.34036732
16.758,13.83377552
6.7032,14.49165154
12.688,14.09275341
8.379,18.31433105
8.1396,16.06358337
35.91,16.4505043
15.082,17.5529995
9.576,25.49990845
14.843,34.58441162
130.23,29.41773605
8.1396,23.13653183
11.731,17.01012421
18.434,21.08500862
9.0972,15.09750748
17.476,14.96970654
11.731,17.54722595
12.209,13.19974899
8.1396,14.21897221
8.6184,21.5811348
9.8154,26.72659874
13.885,26.16624069
9.8154,13.07258606
17.955,18.10773659
7.182,23.87431717
8.379,15.56133938
7.182,16.07711029
20.828,21.11489487
10.294,12.95860291
11.491,16.57414055
33.755,18.07821655
7.6608,13.67387581
11.252,13.23239231
8.1396,18.92481995
21.307,21.75714493
59.132,33.75855637
9.576,13.54343987
12.928,17.62737274
18.434,23.82235146
12.688,20.55674362
106.05,117.3580933
7.9002,14.9214983
6.9426,17.70814323
11.97,14.55091572
7.9002,13.59740353
8.379,14.17149639
9.576,14.23765087
13.646,22.43664742
34.234,26.98146439
21.785,14.3061018
22.982,18.200634
12.688,15.14342117
12.928,16.56119156
11.252,17.06624603
9.576,18.87792969
44.768,17.42562103
6.4638,12.80605316
11.491,19.12362289
12.209,22.88092613
22.743,17.28097153
7.4214,13.97004509
16.519,15.2430582
58.892,19.77830505
10.055,14.97213364
7.182,13.84422112
32.319,34.22066116
9.8154,21.46720505
7.182,19.16693497
7.6608,15.20070457
8.6184,14.61689568
11.731,25.14203262
8.8578,19.86203003
14.843,14.74967766
16.04,25.15080643
12.688,28.34660339
7.4214,15.76267338
7.6608,20.48261833
8.379,14.41472912
26.573,22.18840408
8.1396,15.32122421
12.449,18.7859726
56.02,35.08143234
23.461,15.36076069
12.449,15.9357996
7.9002,13.49119377
9.3366,18.94940567
22.264,28.70742798
7.4214,13.02299404
13.646,20.70321655
9.576,16.17288971
8.6184,21.47319031
8.1396,16.17502403
11.491,17.6396637
17.476,16.35652161
40.937,32.24671936
13.885,14.79832268
8.6184,16.5351944
11.491,20.03486252
25.376,14.40257835
10.773,19.7714119
8.1396,12.66203308
6.7032,17.01830864
15.8,11.87461185
9.3366,20.1869545
8.1396,15.49837971
8.379,14.07651901
10.294,19.37010384
7.9002,13.26633072
8.6184,13.57030201
7.9002,17.65187263
8.8578,13.34881783
7.6608,18.1180687
7.6608,13.01231384
8.8578,21.4562664
9.576,14.43872166
22.025,26.05804253
31.122,23.32765198
7.6608,16.31811905
6.9426,15.42476654
7.4214,17.48384476
19.391,22.0883522
8.379,19.69285583
14.843,20.72519875
9.576,16.66937256
11.012,20.08033752
13.646,23.74124527
10.773,13.39331436
15.561,41.55118942
18.913,17.08813477
13.885,24.21644592
8.6184,18.69713211
11.252,18.59949493
7.182,15.70680428
7.6608,14.83309078
45.965,13.44564819
11.97,14.75300789
13.885,15.28332043
6.9426,16.96672821
27.531,18.31691742
7.6608,14.78141117
7.9002,14.09489059
87.86,78.22267151
16.279,29.76483917
10.294,16.13869858
6.7032,14.38594055
11.491,14.53990459
6.9426,16.37174225
50.035,77.2075119
7.182,13.5859108
10.773,13.32193756
20.349,25.02280045
10.055,14.71726513
9.3366,12.50983524
7.6608,13.07211494
40.698,72.10738373
24.419,26.66913605
21.307,14.95845509
8.6184,14.82353306
28.249,21.58830643
8.1396,14.85791397
7.6608,13.12387276
8.1396,20.59938431
12.688,19.53285408
6.9426,13.71791553
12.449,21.71558189
8.1396,13.94624901
16.04,17.57787704
7.9002,15.73777199
17.955,16.60596275
10.534,14.33316803
7.182,14.51900291
10.534,20.84745026
9.576,14.3008194
36.868,14.07793427
73.017,32.64470673
35.192,13.94538307
50.992,21.50341034
8.6184,14.57960701
12.209,16.38331032
10.534,20.69985771
9.8154,15.76406384
8.6184,20.29514694
20.588,14.65952396
22.743,19.52066422
7.6608,15.91806412
12.928,18.95891571
7.9002,15.42446136
6.7032,12.67450237
8.379,16.51354599
13.406,16.55696678
14.364,31.16763687
8.379,17.99812126
8.379,13.89400768
97.675,24.01057816
8.6184,14.54326344
10.055,19.1640873
7.6608,24.05915451
9.0972,13.35052586
14.364,13.76576614
11.012,13.59393978
75.411,34.44431305
7.182,13.11125565
12.688,15.64933109
14.843,15.25442219
19.631,21.04089355
7.9002,13.10065556
8.8578,22.01190186
11.491,15.85334873
13.646,14.23488426
7.4214,15.40790653
18.673,14.69239426
12.928,15.66795158
9.576,19.14580345
12.449,18.72563934
8.8578,19.72543526
75.89,36.22343826
26.573,19.96486282
6.9426,16.96881866
33.277,22.48185539
14.364,13.90939713
16.279,24.33773041
60.329,21.706707
10.055,16.9466629
33.755,15.63064671
8.379,20.54842758
10.055,17.17497444
19.631,13.18120956
130.23,20.46145248
12.209,14.24692154
7.9002,20.43859863
20.349,30.06040192
12.688,14.52873325
8.8578,13.84434223
8.8578,19.70936203
9.8154,13.43601322
27.292,17.3510704
7.4214,14.03443623
32.798,20.15460777
11.491,24.07326889
8.8578,15.13543606
12.928,15.51851749
8.1396,14.42156315
43.571,42.96137619
6.4638,13.36586666
16.997,21.73102951
7.6608,17.52847099
9.576,14.76691341
10.294,16.45552254
8.379,14.78933048
11.012,15.70221615
8.8578,13.12605381
11.97,15.8471489
24.898,19.43080139
21.307,30.28503036
8.379,12.65086651
28.728,17.06861115
